"density","mach","pressure","temperature","vel_x","vel_y","vel_z","Points:0","Points:1","Points:2"
1.21065e+00,1.17891e-02,9.96691e+04,2.86650e+02,4.00233e+00,0.00000e+00,0.00000e+00,3.95000e-01,0.00000e+00,0.00000e+00
1.19142e+00,2.78620e-02,9.74632e+04,2.84832e+02,9.42900e+00,0.00000e+00,0.00000e+00,4.05000e-01,0.00000e+00,0.00000e+00
1.15520e+00,5.89809e-02,9.33527e+04,2.81374e+02,1.98386e+01,0.00000e+00,0.00000e+00,4.15000e-01,0.00000e+00,0.00000e+00
1.09857e+00,1.10032e-01,8.70339e+04,2.75849e+02,3.66448e+01,0.00000e+00,0.00000e+00,4.25000e-01,0.00000e+00,0.00000e+00
1.02503e+00,1.81206e-01,7.90194e+04,2.68416e+02,5.95299e+01,0.00000e+00,0.00000e+00,4.35000e-01,0.00000e+00,0.00000e+00
9.42161e-01,2.69073e-01,7.02559e+04,2.59639e+02,8.69388e+01,0.00000e+00,0.00000e+00,4.45000e-01,0.00000e+00,0.00000e+00
8.56916e-01,3.69682e-01,6.15526e+04,2.50103e+02,1.17232e+02,0.00000e+00,0.00000e+00,4.55000e-01,0.00000e+00,0.00000e+00
7.74058e-01,4.79746e-01,5.34001e+04,2.40204e+02,1.49094e+02,0.00000e+00,0.00000e+00,4.65000e-01,0.00000e+00,0.00000e+00
6.95552e-01,5.96264e-01,4.60890e+04,2.30717e+02,1.81609e+02,0.00000e+00,0.00000e+00,4.75000e-01,0.00000e+00,0.00000e+00
6.29139e-01,7.17443e-01,3.97325e+04,2.19893e+02,2.13330e+02,0.00000e+00,0.00000e+00,4.85000e-01,0.00000e+00,0.00000e+00
5.62435e-01,8.25084e-01,3.45829e+04,2.14092e+02,2.42079e+02,0.00000e+00,0.00000e+00,4.95000e-01,0.00000e+00,0.00000e+00
5.18483e-01,9.04685e-01,3.14302e+04,2.11070e+02,2.63553e+02,0.00000e+00,0.00000e+00,5.05000e-01,0.00000e+00,0.00000e+00
5.23446e-01,9.43962e-01,3.03991e+04,2.02209e+02,2.69161e+02,0.00000e+00,0.00000e+00,5.15000e-01,0.00000e+00,0.00000e+00
5.30567e-01,9.36012e-01,3.07405e+04,2.01736e+02,2.66582e+02,0.00000e+00,0.00000e+00,5.25000e-01,0.00000e+00,0.00000e+00
5.23910e-01,9.34357e-01,3.06080e+04,2.03418e+02,2.67218e+02,0.00000e+00,0.00000e+00,5.35000e-01,0.00000e+00,0.00000e+00
5.01736e-01,9.13558e-01,3.06293e+04,2.12556e+02,2.67074e+02,0.00000e+00,0.00000e+00,5.45000e-01,0.00000e+00,0.00000e+00
4.56987e-01,8.72186e-01,3.06451e+04,2.33491e+02,2.67240e+02,0.00000e+00,0.00000e+00,5.55000e-01,0.00000e+00,0.00000e+00
